Channel,Unix Timestamp,CAN ID (Hex),EXT,DLC,B1,B2,B3,B4,B5,B6,B7,B8
CAN2,1503052794.840721,15FF2500,1,8,FF,FF,F0,F0,FF,FF,FF,FF
CAN2,1503052794.847177,18FFC502,1,8,11,FF,FF,50,00,FF,FF,FF
CAN2,1503052794.850122,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503052794.860125,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503052794.870196,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503052794.872210,18FFC502,1,8,11,FF,FF,50,00,FF,FF,FF
CAN2,1503052794.890114,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503052794.897167,18FFC502,1,8,11,FF,FF,50,00,FF,FF,FF
CAN2,1503052794.900144,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503052794.910180,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503052794.922207,18FFC502,1,8,11,FF,FF,50,00,FF,FF,FF
CAN2,1503052794.930134,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503052794.940112,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503052794.940707,15FF2500,1,8,FF,FF,F0,F0,FF,FF,FF,FF
CAN2,1503052794.947169,18FFC502,1,8,11,FF,FF,50,00,FF,FF,FF
CAN2,1503052794.950125,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503052794.960122,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503052794.970279,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503052794.972285,18FFC502,1,8,11,FF,FF,50,00,FF,FF,FF
CAN2,1503052794.975128,18FEDF00,1,8,7D,A0,28,7D,7D,FF,FF,F0
CAN2,1503052794.980149,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503052794.990093,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503052794.997243,18FFC502,1,8,11,FF,FF,50,00,FF,FF,FF
CAN2,1503052795.000005,0CFD9200,1,8,F0,FF,FF,FF,FF,FF,FF,FF
CAN2,1503052795.000589,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503052795.010127,18FEEE00,1,8,41,FF,FF,FF,FF,FF,FF,FF
CAN2,1503052795.010718,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
