Channel,Unix Timestamp,CAN ID (Hex),EXT,DLC,B1,B2,B3,B4,B5,B6,B7,B8
CAN2,1503052412.622029,18FFC502,1,8,11,FF,FF,50,00,FF,FF,FF
CAN2,1503052412.630993,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503052412.641006,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503052412.647010,18FFC502,1,8,11,FF,FF,50,00,FF,FF,FF
CAN2,1503052412.650991,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503052412.720963,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503052412.721983,18FFC502,1,8,11,FF,FF,50,00,FF,FF,FF
CAN2,1503052412.725940,18FEDF00,1,8,7D,A0,28,7D,7D,FF,FF,F0
CAN2,1503052412.730993,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503052412.741013,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503052412.747017,18FFC502,1,8,11,FF,FF,50,00,FF,FF,FF
CAN2,1503052412.750994,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503052412.761008,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503052412.770994,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503052412.772008,18FFC502,1,8,11,FF,FF,50,00,FF,FF,FF
CAN2,1503052412.780951,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503052412.791020,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503052412.797026,18FFC502,1,8,11,FF,FF,50,00,FF,FF,FF
CAN2,1503052412.801040,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503052412.810944,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503052412.811539,15FF2500,1,8,FF,FF,F0,F0,FF,FF,FF,FF
CAN2,1503052412.818164,18EAFF00,1,3,DA,FE,00,00,00,00,00,00
CAN2,1503052412.818867,18FEDA02,1,8,01,30,32,32,39,30,35,2A
CAN2,1503052412.820938,0CFD9200,1,8,F0,FF,FF,FF,FF,FF,FF,FF
CAN2,1503052412.821524,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503052412.822122,18FFC502,1,8,11,FF,FF,50,00,FF,FF,FF
CAN2,1503052412.830996,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503052412.838808,1CEA0200,1,3,00,D3,00,00,00,00,00,00
CAN2,1503052412.839528,1CEC0002,1,8,10,14,00,03,FF,00,D3,00
CAN2,1503052412.840701,1CEC0200,1,8,11,03,01,FF,FF,00,D3,00
CAN2,1503052412.841296,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503052412.847110,18FFC502,1,8,11,FF,FF,50,00,FF,FF,FF
CAN2,1503052412.850994,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503052412.860981,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503052412.870994,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503052412.871387,18EAFFFE,1,3,00,EE,00,00,00,00,00,00
CAN2,1503052412.872067,18FFC502,1,8,11,FF,FF,50,00,FF,FF,FF
CAN2,1503052412.872629,18EEFF02,1,8,BD,82,A4,12,00,85,00,00
CAN2,1503052412.880961,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503052412.891082,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503052412.895132,1CEB0002,1,8,01,A3,BE,24,61,30,32,32
CAN2,1503052412.897083,18FFC502,1,8,11,FF,FF,50,00,FF,FF,FF
CAN2,1503052412.901005,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503052412.910970,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503052412.911565,15FF2500,1,8,FF,FF,F0,F0,FF,FF,FF,FF
CAN2,1503052412.920970,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503052412.922044,18FFC502,1,8,11,FF,FF,50,00,FF,FF,FF
CAN2,1503052412.930995,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503052412.941034,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503052412.947038,18FFC502,1,8,11,FF,FF,50,00,FF,FF,FF
CAN2,1503052412.951004,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503052412.952158,1CEB0002,1,8,02,39,30,35,30,31,34,32
CAN2,1503052412.961009,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503052412.970997,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503052412.972011,18FFC502,1,8,11,FF,FF,50,00,FF,FF,FF
CAN2,1503052412.980983,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503052412.985898,18FEDF00,1,8,7D,A0,28,7D,7D,FF,FF,F0
CAN2,1503052412.991027,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503052412.997029,18FFC502,1,8,11,FF,FF,50,00,FF,FF,FF
CAN2,1503052413.000594,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503052413.008511,1CEB0002,1,8,03,00,00,00,00,00,00,FF
CAN2,1503052413.009955,1CEC0200,1,8,13,14,00,03,FF,00,D3,00
CAN2,1503052413.010542,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503052413.011135,15FF2500,1,8,FF,FF,F0,F0,FF,FF,FF,FF
CAN2,1503052413.020262,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503052413.021538,18FFC502,1,8,11,FF,FF,50,00,FF,FF,FF
CAN2,1503052413.030292,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503052413.040354,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503052413.046500,18FFC502,1,8,11,FF,FF,50,00,FF,FF,FF
CAN2,1503052413.050300,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503052413.060276,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503052413.070210,0CFD9200,1,8,F0,FF,FF,FF,FF,FF,FF,FF
CAN2,1503052413.070796,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503052413.071455,18FFC502,1,8,11,FF,FF,50,00,FF,FF,FF
CAN2,1503052413.080268,18FEEE00,1,8,41,FF,FF,FF,FF,FF,FF,FF
