Channel,Unix Timestamp,CAN ID (Hex),EXT,DLC,B1,B2,B3,B4,B5,B6,B7,B8
CAN2,1503051635.790668,15FF2500,1,8,FF,FF,F0,F0,FF,FF,FF,FF
CAN2,1503051635.800089,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503051635.810138,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503051635.820141,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503051635.830098,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503051635.840180,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503051635.850104,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503051635.860114,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503051635.870145,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503051635.880098,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503051635.890060,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503051635.890655,15FF2500,1,8,FF,FF,F0,F0,FF,FF,FF,FF
CAN2,1503051635.900099,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503051635.910128,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503051635.930127,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503051635.940122,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503051635.950010,18FEF600,1,8,FF,73,FE,FF,FF,FF,FF,FF
CAN2,1503051635.950603,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503051635.960085,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503051635.970076,18FEF500,1,8,64,FF,FF,FE,FE,FF,FF,FF
CAN2,1503051635.970667,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503051635.980084,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503051635.990119,0CFFC600,1,8,32,00,01,FF,FF,FF,FF,FF
CAN2,1503051635.990713,15FF2500,1,8,FF,FF,F0,F0,FF,FF,FF,FF
CAN2,1503051636.000006,0CFD9200,1,8,F0,FF,FF,FF,FF,FF,FF,FF
